,molecule_name,potential_energy
52,dsgdb9nsd_000054,-197.7910574
53,dsgdb9nsd_000055,-233.6956038
54,dsgdb9nsd_000056,-229.9924518
55,dsgdb9nsd_000057,-246.0818937
56,dsgdb9nsd_000059,-246.0526148
57,dsgdb9nsd_000060,-267.1683413
58,dsgdb9nsd_000062,-283.2233171
59,dsgdb9nsd_000063,-195.2992438
60,dsgdb9nsd_000064,-211.3980772
61,dsgdb9nsd_000065,-227.4296284
62,dsgdb9nsd_000066,-231.1972766
63,dsgdb9nsd_000067,-247.293463
64,dsgdb9nsd_000068,-232.4772799
65,dsgdb9nsd_000069,-268.3761035
66,dsgdb9nsd_000070,-248.5326407
67,dsgdb9nsd_000071,-268.3901008
68,dsgdb9nsd_000072,-232.4897112
69,dsgdb9nsd_000073,-248.5503174
70,dsgdb9nsd_000074,-248.5452302
71,dsgdb9nsd_000075,-264.5962008
72,dsgdb9nsd_000076,-248.5185245
73,dsgdb9nsd_000077,-268.410713
74,dsgdb9nsd_000078,-284.4644609
75,dsgdb9nsd_000079,-284.4385416
76,dsgdb9nsd_000081,-233.6875973
77,dsgdb9nsd_000082,-269.5926839
78,dsgdb9nsd_000083,-197.7890189
79,dsgdb9nsd_000084,-233.6920425
80,dsgdb9nsd_000085,-233.6815799
81,dsgdb9nsd_000086,-196.5463742
82,dsgdb9nsd_000087,-232.4486188
83,dsgdb9nsd_000088,-232.4466475
84,dsgdb9nsd_000089,-247.2817225
85,dsgdb9nsd_000090,-231.2463318
86,dsgdb9nsd_000091,-247.3060597
87,dsgdb9nsd_000092,-267.1747863
88,dsgdb9nsd_000093,-247.2698406
89,dsgdb9nsd_000094,-267.1354772
90,dsgdb9nsd_000095,-196.5463815
91,dsgdb9nsd_000096,-232.4458197
92,dsgdb9nsd_000097,-232.4406411
93,dsgdb9nsd_000098,-232.4483211
94,dsgdb9nsd_000099,-268.3393757
95,dsgdb9nsd_000100,-196.5437601
96,dsgdb9nsd_000101,-232.4428968
97,dsgdb9nsd_000102,-212.5637444
98,dsgdb9nsd_000103,-232.4476141
99,dsgdb9nsd_000104,-268.3415105
100,dsgdb9nsd_000105,-195.2755779
101,dsgdb9nsd_000106,-231.1614278
102,dsgdb9nsd_000107,-192.8013713
103,dsgdb9nsd_000108,-208.8973769
104,dsgdb9nsd_000109,-224.9893012
105,dsgdb9nsd_000110,-229.9830349
106,dsgdb9nsd_000111,-246.0779238
107,dsgdb9nsd_000112,-263.3489207
108,dsgdb9nsd_000113,-283.2118762
109,dsgdb9nsd_000114,-283.2354856
110,dsgdb9nsd_000115,-192.8281424
111,dsgdb9nsd_000116,-208.9188329
112,dsgdb9nsd_000117,-229.9939795
113,dsgdb9nsd_000118,-231.2004383
114,dsgdb9nsd_000119,-195.3095202
115,dsgdb9nsd_000120,-248.4963986
116,dsgdb9nsd_000121,-195.298964
117,dsgdb9nsd_000122,-211.3977667
118,dsgdb9nsd_000123,-227.4161215
119,dsgdb9nsd_000124,-231.180942
120,dsgdb9nsd_000125,-247.2764739
121,dsgdb9nsd_000126,-231.195639
122,dsgdb9nsd_000127,-247.2934947
123,dsgdb9nsd_000128,-232.4763265
124,dsgdb9nsd_000129,-248.5387518
125,dsgdb9nsd_000130,-268.3976998
126,dsgdb9nsd_000131,-268.3616867
127,dsgdb9nsd_000132,-268.3721131
128,dsgdb9nsd_000133,-197.7895532
129,dsgdb9nsd_000134,-233.6860905
130,dsgdb9nsd_000135,-233.6787655
131,dsgdb9nsd_000136,-233.6840286
132,dsgdb9nsd_000137,-269.5788441
133,dsgdb9nsd_000138,-269.5816579
134,dsgdb9nsd_000139,-194.0538232
135,dsgdb9nsd_000140,-210.0809642
136,dsgdb9nsd_000141,-229.9460653
137,dsgdb9nsd_000142,-210.151871
138,dsgdb9nsd_000143,-226.1763293
139,dsgdb9nsd_000144,-246.0395138
140,dsgdb9nsd_000145,-231.2358343
141,dsgdb9nsd_000146,-247.2642215
142,dsgdb9nsd_000147,-267.1267915
143,dsgdb9nsd_000148,-247.2721186
144,dsgdb9nsd_000149,-196.5430452
145,dsgdb9nsd_000150,-232.4420361
146,dsgdb9nsd_000151,-212.5653205
147,dsgdb9nsd_000152,-232.4311249
148,dsgdb9nsd_000153,-232.4392661
149,dsgdb9nsd_000154,-248.4674653
150,dsgdb9nsd_000155,-268.3395424
151,dsgdb9nsd_000156,-195.3425438
152,dsgdb9nsd_000157,-247.2968282
153,dsgdb9nsd_000158,-231.2347994
154,dsgdb9nsd_000159,-196.5731412
155,dsgdb9nsd_000160,-232.4684136
156,dsgdb9nsd_000161,-268.3664448
157,dsgdb9nsd_000162,-195.2958267
158,dsgdb9nsd_000163,-231.1850684
159,dsgdb9nsd_000164,-231.1938999
160,dsgdb9nsd_000165,-226.2156604
161,dsgdb9nsd_000166,-242.2392303
162,dsgdb9nsd_000167,-242.2655293
163,dsgdb9nsd_000168,-242.2554667
164,dsgdb9nsd_000169,-242.2458625
165,dsgdb9nsd_000170,-246.0520787
166,dsgdb9nsd_000171,-262.0805091
167,dsgdb9nsd_000172,-262.1031408
168,dsgdb9nsd_000173,-262.111995
169,dsgdb9nsd_000174,-278.1091725
170,dsgdb9nsd_000175,-262.0636076
171,dsgdb9nsd_000176,-278.0927922
172,dsgdb9nsd_000178,-285.2999138
173,dsgdb9nsd_000179,-323.691285
174,dsgdb9nsd_000180,-287.7918068
175,dsgdb9nsd_000181,-286.5456413
176,dsgdb9nsd_000182,-302.5690158
177,dsgdb9nsd_000183,-322.4350626
178,dsgdb9nsd_000187,-301.4810694
179,dsgdb9nsd_000188,-321.3393508
180,dsgdb9nsd_000189,-341.1963798
181,dsgdb9nsd_000190,-249.5072857
182,dsgdb9nsd_000191,-269.3649902
183,dsgdb9nsd_000192,-285.4145
184,dsgdb9nsd_000193,-285.4162032
185,dsgdb9nsd_000194,-265.5406734
186,dsgdb9nsd_000195,-285.4000843
187,dsgdb9nsd_000196,-301.4487381
188,dsgdb9nsd_000197,-301.4566078
189,dsgdb9nsd_000198,-285.4065972
190,dsgdb9nsd_000199,-301.4532516
191,dsgdb9nsd_000200,-301.4648688
192,dsgdb9nsd_000201,-249.5052254
193,dsgdb9nsd_000202,-265.5560213
194,dsgdb9nsd_000203,-269.3610178
195,dsgdb9nsd_000204,-285.4129207
196,dsgdb9nsd_000205,-265.5374789
197,dsgdb9nsd_000206,-281.5924478
198,dsgdb9nsd_000207,-285.3937351
199,dsgdb9nsd_000208,-301.4492882
200,dsgdb9nsd_000209,-285.4028282
201,dsgdb9nsd_000210,-301.4611102
202,dsgdb9nsd_000211,-321.3159546
203,dsgdb9nsd_000213,-265.5461289
204,dsgdb9nsd_000214,-232.2647617
205,dsgdb9nsd_000215,-248.3006144
206,dsgdb9nsd_000216,-264.3323512
207,dsgdb9nsd_000217,-264.3387598
208,dsgdb9nsd_000218,-280.3793259
209,dsgdb9nsd_000219,-234.6165702
210,dsgdb9nsd_000220,-250.7157294
211,dsgdb9nsd_000221,-266.7496476
212,dsgdb9nsd_000222,-270.5152486
213,dsgdb9nsd_000223,-286.6120003
214,dsgdb9nsd_000224,-271.7963464
215,dsgdb9nsd_000225,-307.6978856
216,dsgdb9nsd_000226,-273.0052051
217,dsgdb9nsd_000227,-308.9094893
218,dsgdb9nsd_000228,-237.1050295
219,dsgdb9nsd_000229,-273.0112155
220,dsgdb9nsd_000230,-272.9988197
221,dsgdb9nsd_000231,-269.3237329
222,dsgdb9nsd_000232,-285.3834094
223,dsgdb9nsd_000233,-234.6270033
224,dsgdb9nsd_000234,-270.5259652
225,dsgdb9nsd_000235,-269.3124238
226,dsgdb9nsd_000236,-285.4072387
227,dsgdb9nsd_000237,-285.3706658
228,dsgdb9nsd_000238,-301.4672384
229,dsgdb9nsd_000239,-302.6853245
230,dsgdb9nsd_000240,-322.5437839
231,dsgdb9nsd_000241,-306.4908613
232,dsgdb9nsd_000242,-302.6753954
233,dsgdb9nsd_000243,-322.5631191
234,dsgdb9nsd_000244,-322.5479421
235,dsgdb9nsd_000246,-322.552896
236,dsgdb9nsd_000247,-318.7275747
237,dsgdb9nsd_000248,-338.6162068
238,dsgdb9nsd_000249,-338.6042339
239,dsgdb9nsd_000250,-234.6168621
240,dsgdb9nsd_000251,-250.7158158
241,dsgdb9nsd_000252,-270.5183019
242,dsgdb9nsd_000253,-286.615218
243,dsgdb9nsd_000254,-266.7282095
244,dsgdb9nsd_000255,-271.793754
245,dsgdb9nsd_000256,-287.8583579
246,dsgdb9nsd_000257,-307.7196324
247,dsgdb9nsd_000258,-307.6948718
248,dsgdb9nsd_000259,-287.8102786
249,dsgdb9nsd_000260,-307.7030683
250,dsgdb9nsd_000261,-271.8064372
251,dsgdb9nsd_000262,-287.8671551
252,dsgdb9nsd_000263,-287.8648828
253,dsgdb9nsd_000264,-303.9157874
254,dsgdb9nsd_000265,-307.7325648
255,dsgdb9nsd_000266,-323.7863578
256,dsgdb9nsd_000268,-307.6883326
257,dsgdb9nsd_000269,-323.7477103
258,dsgdb9nsd_000270,-323.7640174
259,dsgdb9nsd_000271,-323.6907115
260,dsgdb9nsd_000272,-273.0022722
261,dsgdb9nsd_000273,-308.905827
262,dsgdb9nsd_000274,-237.1058143
263,dsgdb9nsd_000275,-273.0091233
264,dsgdb9nsd_000276,-273.0035077
265,dsgdb9nsd_000277,-272.9969598
266,dsgdb9nsd_000278,-308.90046
267,dsgdb9nsd_000279,-306.4995045
268,dsgdb9nsd_000281,-322.5659056
269,dsgdb9nsd_000282,-338.6035957
270,dsgdb9nsd_000283,-338.6337116
271,dsgdb9nsd_000284,-271.8055651
272,dsgdb9nsd_000285,-287.8675692
273,dsgdb9nsd_000287,-307.7114052
274,dsgdb9nsd_000288,-323.7729073
275,dsgdb9nsd_000289,-287.8537119
276,dsgdb9nsd_000290,-303.9055437
277,dsgdb9nsd_000291,-237.1037541
278,dsgdb9nsd_000292,-273.0078925
279,dsgdb9nsd_000293,-308.9130296
280,dsgdb9nsd_000294,-235.8650677
281,dsgdb9nsd_000295,-271.7686443
282,dsgdb9nsd_000296,-271.7603736
283,dsgdb9nsd_000297,-271.7702017
284,dsgdb9nsd_000298,-307.6632817
285,dsgdb9nsd_000299,-271.7633262
286,dsgdb9nsd_000300,-307.6637457
287,dsgdb9nsd_000301,-235.8638763
288,dsgdb9nsd_000302,-271.7650632
289,dsgdb9nsd_000303,-271.7710351
290,dsgdb9nsd_000304,-251.8858612
291,dsgdb9nsd_000305,-286.6065767
292,dsgdb9nsd_000306,-270.5655783
293,dsgdb9nsd_000307,-286.6280186
294,dsgdb9nsd_000308,-306.4994904
295,dsgdb9nsd_000309,-286.5835712
296,dsgdb9nsd_000310,-306.4646536
297,dsgdb9nsd_000311,-235.8665216
298,dsgdb9nsd_000312,-271.7707656
299,dsgdb9nsd_000313,-271.7674064
300,dsgdb9nsd_000314,-287.7884569
301,dsgdb9nsd_000315,-307.6679771
302,dsgdb9nsd_000316,-234.5997353
303,dsgdb9nsd_000317,-270.4896228
304,dsgdb9nsd_000318,-250.6116189
305,dsgdb9nsd_000319,-270.5035512
306,dsgdb9nsd_000320,-286.5177958
307,dsgdb9nsd_000321,-266.8103548
308,dsgdb9nsd_000322,-282.897425
309,dsgdb9nsd_000324,-303.9807807
310,dsgdb9nsd_000325,-320.065593
311,dsgdb9nsd_000326,-341.1434136
312,dsgdb9nsd_000327,-232.1194965
313,dsgdb9nsd_000328,-248.2159977
314,dsgdb9nsd_000329,-264.3086901
315,dsgdb9nsd_000330,-264.2443576
316,dsgdb9nsd_000331,-280.3356538
317,dsgdb9nsd_000332,-268.014359
318,dsgdb9nsd_000333,-284.1084076
319,dsgdb9nsd_000334,-300.1980612
320,dsgdb9nsd_000335,-269.3011492
321,dsgdb9nsd_000336,-285.3963672
322,dsgdb9nsd_000337,-305.2004563
323,dsgdb9nsd_000338,-321.2934017
324,dsgdb9nsd_000339,-306.4765999
325,dsgdb9nsd_000340,-302.6765204
326,dsgdb9nsd_000341,-322.5613886
327,dsgdb9nsd_000342,-342.3777903
328,dsgdb9nsd_000343,-281.5651966
329,dsgdb9nsd_000344,-302.6597057
330,dsgdb9nsd_000345,-269.3106389
331,dsgdb9nsd_000346,-285.4005232
332,dsgdb9nsd_000347,-281.5697658
333,dsgdb9nsd_000348,-285.3658325
334,dsgdb9nsd_000349,-305.2270106
335,dsgdb9nsd_000350,-321.3154559
336,dsgdb9nsd_000351,-305.2003587
337,dsgdb9nsd_000352,-321.2893457
338,dsgdb9nsd_000353,-306.4864024
339,dsgdb9nsd_000354,-302.6540846
340,dsgdb9nsd_000355,-322.5371969
341,dsgdb9nsd_000356,-342.4001689
342,dsgdb9nsd_000357,-342.3675008
343,dsgdb9nsd_000358,-271.8073933
344,dsgdb9nsd_000359,-307.6970342
345,dsgdb9nsd_000360,-287.862781
346,dsgdb9nsd_000361,-307.728467
347,dsgdb9nsd_000362,-323.7510436
348,dsgdb9nsd_000363,-303.9066639
349,dsgdb9nsd_000364,-323.7764556
350,dsgdb9nsd_000365,-323.7597224
351,dsgdb9nsd_000366,-343.6265402
352,dsgdb9nsd_000367,-343.5857855
353,dsgdb9nsd_000368,-287.8264916
354,dsgdb9nsd_000369,-270.5135644
355,dsgdb9nsd_000370,-286.6117657
356,dsgdb9nsd_000371,-234.6150376
357,dsgdb9nsd_000372,-250.7140556
358,dsgdb9nsd_000373,-266.7467152
359,dsgdb9nsd_000374,-270.514847
360,dsgdb9nsd_000375,-286.6111205
361,dsgdb9nsd_000376,-266.7347531
362,dsgdb9nsd_000377,-270.5009459
363,dsgdb9nsd_000378,-286.6016946
364,dsgdb9nsd_000379,-302.6415082
365,dsgdb9nsd_000380,-282.7765292
366,dsgdb9nsd_000381,-302.6420946
367,dsgdb9nsd_000382,-306.4153907
368,dsgdb9nsd_000383,-322.5093483
369,dsgdb9nsd_000384,-307.6922527
370,dsgdb9nsd_000385,-271.7926954
371,dsgdb9nsd_000386,-307.6997553
372,dsgdb9nsd_000387,-287.8510779
373,dsgdb9nsd_000388,-307.6831646
374,dsgdb9nsd_000389,-343.5984087
375,dsgdb9nsd_000390,-308.900287
376,dsgdb9nsd_000391,-237.1043519
377,dsgdb9nsd_000392,-273.0030264
378,dsgdb9nsd_000393,-272.998811
379,dsgdb9nsd_000394,-273.0094302
380,dsgdb9nsd_000395,-308.909997
381,dsgdb9nsd_000396,-308.8986507
382,dsgdb9nsd_000397,-344.8082067
383,dsgdb9nsd_000398,-233.3735145
384,dsgdb9nsd_000399,-249.4719656
385,dsgdb9nsd_000400,-249.4000319
386,dsgdb9nsd_000401,-265.4966827
387,dsgdb9nsd_000402,-269.270143
388,dsgdb9nsd_000403,-285.3647357
389,dsgdb9nsd_000404,-265.5054767
390,dsgdb9nsd_000405,-269.2709337
391,dsgdb9nsd_000406,-285.3670909
392,dsgdb9nsd_000407,-270.5576319
393,dsgdb9nsd_000408,-286.5844939
394,dsgdb9nsd_000409,-306.4527647
395,dsgdb9nsd_000410,-306.4591122
396,dsgdb9nsd_000411,-271.7601462
397,dsgdb9nsd_000412,-287.7946633
398,dsgdb9nsd_000413,-307.6642043
399,dsgdb9nsd_000414,-235.8622274
400,dsgdb9nsd_000415,-271.7646023
401,dsgdb9nsd_000416,-271.7636553
402,dsgdb9nsd_000417,-271.752693
403,dsgdb9nsd_000418,-307.6630157
404,dsgdb9nsd_000419,-270.5661686
405,dsgdb9nsd_000420,-286.6256092
406,dsgdb9nsd_000421,-286.6016685
407,dsgdb9nsd_000422,-306.4943873
408,dsgdb9nsd_000423,-286.5925314
409,dsgdb9nsd_000424,-306.4601431
410,dsgdb9nsd_000425,-286.6234842
411,dsgdb9nsd_000426,-302.6335139
412,dsgdb9nsd_000427,-322.5253746
413,dsgdb9nsd_000428,-306.4638726
414,dsgdb9nsd_000429,-322.5216974
415,dsgdb9nsd_000430,-322.497791
416,dsgdb9nsd_000431,-342.388435
417,dsgdb9nsd_000432,-235.8633139
418,dsgdb9nsd_000433,-271.7655053
419,dsgdb9nsd_000434,-271.7635519
420,dsgdb9nsd_000435,-307.6635107
421,dsgdb9nsd_000436,-307.6702006
422,dsgdb9nsd_000437,-281.5790461
423,dsgdb9nsd_000438,-269.3606437
424,dsgdb9nsd_000439,-285.4220372
425,dsgdb9nsd_000440,-301.4710655
426,dsgdb9nsd_000441,-321.3341227
427,dsgdb9nsd_000442,-285.3985082
428,dsgdb9nsd_000443,-269.3690152
429,dsgdb9nsd_000444,-285.4233033
430,dsgdb9nsd_000445,-286.6266631
431,dsgdb9nsd_000446,-322.5205496
432,dsgdb9nsd_000447,-322.5309484
433,dsgdb9nsd_000448,-270.5933909
434,dsgdb9nsd_000449,-286.6531453
435,dsgdb9nsd_000450,-306.5168115
436,dsgdb9nsd_000451,-306.4835514
437,dsgdb9nsd_000452,-342.4094435
438,dsgdb9nsd_000453,-302.6993
439,dsgdb9nsd_000454,-322.5642015
440,dsgdb9nsd_000455,-342.4272194
441,dsgdb9nsd_000456,-234.6666857
442,dsgdb9nsd_000457,-270.5592289
443,dsgdb9nsd_000458,-286.6261568
444,dsgdb9nsd_000459,-234.6606605
445,dsgdb9nsd_000460,-286.6200679
446,dsgdb9nsd_000461,-270.562273
447,dsgdb9nsd_000462,-234.6608501
448,dsgdb9nsd_000463,-286.6178626
449,dsgdb9nsd_000464,-270.5577371
450,dsgdb9nsd_000465,-270.5622287
451,dsgdb9nsd_000466,-235.8919128
452,dsgdb9nsd_000467,-271.791652
453,dsgdb9nsd_000468,-271.7871686
454,dsgdb9nsd_000469,-307.6897406
455,dsgdb9nsd_000470,-307.6936487
456,dsgdb9nsd_000471,-271.7931765
457,dsgdb9nsd_000472,-307.6870959
458,dsgdb9nsd_000473,-235.8596032
459,dsgdb9nsd_000474,-271.7604289
460,dsgdb9nsd_000475,-251.8804096
461,dsgdb9nsd_000476,-307.6593996
462,dsgdb9nsd_000477,-343.564527
463,dsgdb9nsd_000478,-234.6187072
464,dsgdb9nsd_000479,-270.5120315
465,dsgdb9nsd_000480,-270.5078288
466,dsgdb9nsd_000481,-270.5207845
467,dsgdb9nsd_000482,-270.5177077
468,dsgdb9nsd_000483,-306.4050218
469,dsgdb9nsd_000484,-229.6621642
470,dsgdb9nsd_000485,-245.7487255
471,dsgdb9nsd_000487,-232.124277
472,dsgdb9nsd_000488,-248.221474
473,dsgdb9nsd_000489,-264.3164009
474,dsgdb9nsd_000490,-266.8247518
475,dsgdb9nsd_000491,-282.9086978
476,dsgdb9nsd_000492,-303.9873705
477,dsgdb9nsd_000493,-285.325144
478,dsgdb9nsd_000494,-301.4182454
479,dsgdb9nsd_000495,-269.3005502
480,dsgdb9nsd_000496,-285.3970586
481,dsgdb9nsd_000497,-285.3602509
482,dsgdb9nsd_000498,-301.4553793
483,dsgdb9nsd_000499,-305.2157917
484,dsgdb9nsd_000500,-321.3076169
485,dsgdb9nsd_000501,-322.5037696
486,dsgdb9nsd_000502,-306.4779206
487,dsgdb9nsd_000503,-322.5396865
488,dsgdb9nsd_000504,-342.3944488
489,dsgdb9nsd_000505,-232.1581134
490,dsgdb9nsd_000506,-232.130033
491,dsgdb9nsd_000507,-248.2272534
492,dsgdb9nsd_000508,-269.3119643
493,dsgdb9nsd_000509,-302.6629779
494,dsgdb9nsd_000510,-322.5254906
495,dsgdb9nsd_000511,-232.1449111
496,dsgdb9nsd_000512,-248.2357963
497,dsgdb9nsd_000513,-268.0342141
498,dsgdb9nsd_000514,-284.1235383
499,dsgdb9nsd_000515,-269.3108498
500,dsgdb9nsd_000516,-305.2006123
501,dsgdb9nsd_000517,-234.6261141
502,dsgdb9nsd_000518,-270.5171747
503,dsgdb9nsd_000519,-306.4078854
504,dsgdb9nsd_000520,-287.8128218
505,dsgdb9nsd_000521,-270.5236924
506,dsgdb9nsd_000522,-234.6267677
507,dsgdb9nsd_000523,-270.5098838
508,dsgdb9nsd_000524,-287.8186946
509,dsgdb9nsd_000525,-234.6158386
510,dsgdb9nsd_000526,-250.714753
511,dsgdb9nsd_000527,-266.7360372
512,dsgdb9nsd_000528,-270.5031479
513,dsgdb9nsd_000529,-286.5989771
514,dsgdb9nsd_000530,-270.5048283
515,dsgdb9nsd_000531,-286.6026092
516,dsgdb9nsd_000532,-270.5116103
517,dsgdb9nsd_000533,-286.6100014
518,dsgdb9nsd_000534,-271.7933254
519,dsgdb9nsd_000535,-287.8558426
520,dsgdb9nsd_000536,-307.7147673
521,dsgdb9nsd_000537,-307.6839293
522,dsgdb9nsd_000538,-307.6807306
523,dsgdb9nsd_000539,-307.6895189
524,dsgdb9nsd_000540,-323.755122
525,dsgdb9nsd_000541,-323.7222753
526,dsgdb9nsd_000542,-343.6129681
527,dsgdb9nsd_000543,-237.1064314
528,dsgdb9nsd_000544,-273.0030369
529,dsgdb9nsd_000545,-272.9955166
530,dsgdb9nsd_000546,-273.0007868
531,dsgdb9nsd_000547,-308.900975
532,dsgdb9nsd_000548,-308.8911346
533,dsgdb9nsd_000549,-308.8829258
534,dsgdb9nsd_000550,-308.8997021
535,dsgdb9nsd_000551,-233.3735118
536,dsgdb9nsd_000552,-269.2662919
537,dsgdb9nsd_000553,-269.265987
538,dsgdb9nsd_000554,-249.4720273
539,dsgdb9nsd_000555,-265.496953
540,dsgdb9nsd_000556,-285.3614722
541,dsgdb9nsd_000557,-285.3621992
542,dsgdb9nsd_000558,-270.5509911
543,dsgdb9nsd_000559,-306.4450967
544,dsgdb9nsd_000560,-306.443052
545,dsgdb9nsd_000561,-286.6077694
546,dsgdb9nsd_000562,-286.5923183
547,dsgdb9nsd_000563,-235.8631173
548,dsgdb9nsd_000564,-271.7632088
549,dsgdb9nsd_000565,-271.7574393
550,dsgdb9nsd_000566,-271.7558466
551,dsgdb9nsd_000567,-307.6476138
552,dsgdb9nsd_000568,-271.7598434
553,dsgdb9nsd_000569,-307.6622419
554,dsgdb9nsd_000570,-307.6542632
555,dsgdb9nsd_000571,-233.3683392
556,dsgdb9nsd_000572,-269.2654484
557,dsgdb9nsd_000573,-249.3883078
558,dsgdb9nsd_000574,-249.4671057
559,dsgdb9nsd_000575,-265.4936192
560,dsgdb9nsd_000576,-285.3624512
561,dsgdb9nsd_000577,-265.4835566
562,dsgdb9nsd_000578,-286.5749055
563,dsgdb9nsd_000579,-270.5465251
564,dsgdb9nsd_000580,-286.5744035
565,dsgdb9nsd_000581,-306.4437678
566,dsgdb9nsd_000582,-286.5665463
567,dsgdb9nsd_000583,-286.6070801
568,dsgdb9nsd_000584,-306.4655388
569,dsgdb9nsd_000585,-233.381645
570,dsgdb9nsd_000586,-249.4096054
571,dsgdb9nsd_000587,-269.275484
572,dsgdb9nsd_000588,-235.8599896
573,dsgdb9nsd_000589,-271.7590192
574,dsgdb9nsd_000590,-251.8820903
575,dsgdb9nsd_000591,-271.7531816
576,dsgdb9nsd_000592,-271.7487103
577,dsgdb9nsd_000593,-287.7768516
578,dsgdb9nsd_000594,-307.645247
579,dsgdb9nsd_000595,-271.7566652
580,dsgdb9nsd_000596,-307.6553755
581,dsgdb9nsd_000597,-287.7831051
582,dsgdb9nsd_000598,-233.3739262
583,dsgdb9nsd_000599,-249.4723616
584,dsgdb9nsd_000600,-249.4015759
585,dsgdb9nsd_000601,-265.4980113
586,dsgdb9nsd_000602,-269.2713117
587,dsgdb9nsd_000603,-285.3654655
588,dsgdb9nsd_000604,-249.391805
589,dsgdb9nsd_000605,-265.4880484
590,dsgdb9nsd_000606,-269.2718441
591,dsgdb9nsd_000607,-285.3691866
592,dsgdb9nsd_000608,-270.553201
593,dsgdb9nsd_000609,-286.5941201
594,dsgdb9nsd_000610,-286.5817879
595,dsgdb9nsd_000611,-306.4483638
596,dsgdb9nsd_000612,-286.5706118
597,dsgdb9nsd_000613,-306.4507557
598,dsgdb9nsd_000614,-271.756389
599,dsgdb9nsd_000615,-287.7923139
600,dsgdb9nsd_000616,-307.6618345
601,dsgdb9nsd_000617,-235.8605727
602,dsgdb9nsd_000618,-271.7597053
603,dsgdb9nsd_000619,-251.8802738
604,dsgdb9nsd_000620,-271.7645938
605,dsgdb9nsd_000621,-251.8834773
606,dsgdb9nsd_000622,-287.7746437
607,dsgdb9nsd_000623,-271.7506732
608,dsgdb9nsd_000624,-307.6477525
609,dsgdb9nsd_000625,-307.6557351
610,dsgdb9nsd_000626,-270.5654014
611,dsgdb9nsd_000627,-286.5942372
612,dsgdb9nsd_000628,-306.4558958
613,dsgdb9nsd_000629,-286.5995158
614,dsgdb9nsd_000630,-286.6258445
615,dsgdb9nsd_000631,-302.6553638
616,dsgdb9nsd_000632,-322.5203275
617,dsgdb9nsd_000633,-302.655946
618,dsgdb9nsd_000634,-235.8609468
619,dsgdb9nsd_000635,-271.7584883
620,dsgdb9nsd_000636,-251.8854382
621,dsgdb9nsd_000637,-271.7620006
622,dsgdb9nsd_000638,-287.792824
623,dsgdb9nsd_000639,-307.6643444
624,dsgdb9nsd_000640,-234.6164956
625,dsgdb9nsd_000641,-270.5141499
626,dsgdb9nsd_000642,-270.5099694
627,dsgdb9nsd_000643,-286.5401053
628,dsgdb9nsd_000644,-270.5195653
629,dsgdb9nsd_000645,-306.4100866
630,dsgdb9nsd_000646,-233.3826309
631,dsgdb9nsd_000647,-269.273765
632,dsgdb9nsd_000648,-234.637972
633,dsgdb9nsd_000649,-270.5296005
634,dsgdb9nsd_000650,-270.5337683
635,dsgdb9nsd_000651,-234.5924774
636,dsgdb9nsd_000652,-270.4795856
